date,um100,um025,pm1,pm25,um010,pm10,um003,temperature,um050,um005,pressure,humidity,locationId,location,latitude,longitude,country
2023-08-21T06:00:00+07:00,0.04000000000000002,0.5260714285714285,49.51785714285713,77.55714285714286,7.917857142857144,84.86071428571427,132.37285714285716,85.0,0.09642857142857146,37.82107142857143,1011.3807142857146,62.42857142857143,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T07:00:00+07:00,0.04000000000000002,0.4992857142857143,47.28928571428571,73.99285714285715,7.531785714285715,81.80357142857143,127.47285714285712,85.75,0.09107142857142858,36.28464285714286,1011.8228571428572,60.0,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T08:00:00+07:00,0.04266666666666668,0.5426666666666667,52.66666666666666,82.1266666666667,8.335333333333335,88.42666666666668,142.18700000000004,88.0,0.09566666666666669,40.487666666666655,1012.3280000000001,56.2,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T09:00:00+07:00,0.04033333333333335,0.5086666666666666,47.85,75.38666666666664,7.818666666666667,83.09333333333332,129.16466666666668,91.33333333333333,0.091,36.928999999999995,1012.4649999999998,51.53333333333333,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T10:00:00+07:00,0.016333333333333335,0.263,32.71333333333334,50.00333333333333,4.921000000000001,61.513333333333314,86.16833333333335,94.3,0.04200000000000002,24.501666666666672,1012.2109999999999,45.03333333333333,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T11:00:00+07:00,0.01827586206896552,0.2786206896551724,33.78965517241379,52.00689655172414,5.251724137931034,63.44137931034483,91.65931034482759,96.3103448275862,0.04655172413793105,26.054482758620686,1011.5462068965516,41.793103448275865,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T12:00:00+07:00,0.018666666666666668,0.28900000000000003,34.513333333333335,53.1,5.369333333333332,63.813333333333304,92.44,98.6,0.045666666666666696,26.337333333333337,1011.1046666666668,38.86666666666667,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T13:00:00+07:00,0.008965517241379313,0.2,29.19655172413793,44.49655172413794,4.092413793103448,54.61724137931036,72.52310344827586,98.03448275862068,0.030689655172413805,20.62965517241379,1010.4300000000001,39.55172413793103,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T14:00:00+07:00,0.006000000000000001,0.15200000000000002,26.21,39.81666666666667,3.3673333333333333,47.896666666666654,59.60733333333334,97.86666666666666,0.021333333333333346,16.946333333333335,1009.7029999999997,39.0,222854,Ancol,-6.124591,106.85121,ID
2023-08-21T15:00:00+07:00,0.004482758620689654,0.15068965517241378,26.162068965517246,39.57241379310344,3.2703448275862064,47.475862068965526,59.64413793103449,97.93103448275862,0.02000000000000001,16.917241379310347,1009.242068965517,39.3448275862069,222854,Ancol,-6.124591,106.85121,ID
